ZugeordneteWirkleistungWechselrichter;GemeinsamerWechselrichterMitSpeicher;AnzahlModule;Lage;Leistungsbegrenzung;EinheitlicheAusrichtungUndNeigungswinkel;Hauptausrichtung;HauptausrichtungNeigungswinkel;Nebenausrichtung;NebenausrichtungNeigungswinkel;InAnspruchGenommeneFlaeche;ArtDerFlaeche;InAnspruchGenommeneLandwirtschaftlichGenutzteFlaeche;Nutzungsbereich;Buergerenergie;EegMastrNummer;ArtDerFlaecheIds;Zaehlernummer;NetzbetreiberMastrNummer;Registrierungsdatum;EinheitMastrNummer;DatumLetzteAktualisierung;LokationMastrNummer;NetzbetreiberpruefungStatus;NetzbetreiberpruefungDatum;AnlagenbetreiberMastrNummer;Land;Bundesland;Landkreis;Gemeinde;Gemeindeschluessel;Postleitzahl;Gemarkung;FlurFlurstuecknummern;Strasse;StrasseNichtGefunden;Hausnummer;HausnummerNichtGefunden;Adresszusatz;Ort;Laengengrad;Breitengrad;UtmZonenwert;UtmEast;UtmNorth;GaussKruegerHoch;GaussKruegerRechts;Meldedatum;GeplantesInbetriebnahmedatum;Inbetriebnahmedatum;DatumEndgueltigeStilllegung;DatumBeginnVoruebergehendeStilllegung;DatumBeendigungVorlaeufigenStilllegung;DatumWiederaufnahmeBetrieb;EinheitSystemstatus;EinheitBetriebsstatus;BestandsanlageMastrNummer;NichtVorhandenInMigriertenEinheiten;AltAnlagenbetreiberMastrNummer;DatumDesBetreiberwechsels;DatumRegistrierungDesBetreiberwechsels;NameStromerzeugungseinheit;Weic;WeicDisplayName;Kraftwerksnummer;Energietraeger;Bruttoleistung;Nettonennleistung;AnschlussAnHoechstOderHochSpannung;Schwarzstartfaehigkeit;Inselbetriebsfaehigkeit;Einsatzverantwortlicher;FernsteuerbarkeitNb;FernsteuerbarkeitDv;FernsteuerbarkeitDr;Einspeisungsart;PraequalifiziertFuerRegelenergie;GenMastrNummer;Netzbetreiberzuordnungen;ReserveartNachDemEnWG;DatumUeberfuehrungInReserve;Hausnummer_nv;Weic_nv;Kraftwerksnummer_nv;DatenQuelle;DatumDownload;InAnspruchGenommeneAckerflaeche
5.0;;57.0;Bauliche Anlagen (Hausdach, Gebäude und Fassade);Nein;0.0;Süd;Fassadenintegriert;Süd;< 20 Grad;;;;Gewerbe, Handel und Dienstleistungen;;EEG991524070696;;;;2020-10-30;SEE959572203459;2024-03-05 09:19:11.158002;SEL985493464587;1.0;;ABR924366240750;Deutschland;Berlin;Berlin;Berlin;11000000.0;10589;;;;;;;;Berlin;;;;;;;;;;1999-01-28;;;;;Aktiviert;In Betrieb;;0;;;;PV Mierendorffplatz;;;;Solare Strahlungsenergie;5.28;5.0;;;;;0.0;;;Teileinspeisung (einschließlich Eigenverbrauch);;;;;;;0;0;bulk;2024-09-16;
37.2;;242.0;Bauliche Anlagen (Hausdach, Gebäude und Fassade);Nein;1.0;Süd;20 - 40 Grad;;;;;;Öffentliches Gebäude;;EEG903342737361;;;;2020-02-27;SEE977348322180;2021-04-28 11:56:27.291923;SEL947543112305;1.0;;ABR924158142880;Deutschland;Berlin;Berlin;Berlin;11000000.0;10589;;;Mierendorffstraße;0.0;20.0;0.0;;Berlin;13.303;52.523339;;;;;;;;2008-12-18;;;;;Aktiviert;In Betrieb;;0;;;;Mierendorff-Grundschule;;;;Solare Strahlungsenergie;42.35;37.2;;;;;0.0;;;Volleinspeisung;;;;;;0.0;0;0;bulk;2024-09-16;
0.3;;1.0;Bauliche Anlagen (Hausdach, Gebäude und Fassade);Nein;1.0;Süd;20 - 40 Grad;;;;;;Haushalt;;EEG960505395219;;;;2020-10-06;SEE952048906915;2021-06-29 10:13:36.393598;SEL923542616709;1.0;;ABR923040680059;Deutschland;Berlin;Berlin;Berlin;11000000.0;10589;;;;;;;;Berlin;;;;;;;;;;2020-10-01;;;;;Aktiviert;In Betrieb;;0;;;;Alpha-Solar 325WBalkonkraftwerk CanadianSolar Hoymiles MI-300;;;;Solare Strahlungsenergie;0.325;0.3;;;;;0.0;;;Teileinspeisung (einschließlich Eigenverbrauch);;;;;;;0;0;bulk;2024-09-16;
52.77;;222.0;Bauliche Anlagen (Hausdach, Gebäude und Fassade);Nein;1.0;Süd;40 - 60 Grad;;;;;;Industrie;;EEG923805362237;;;;2020-12-31;SEE925002824396;2021-04-23 04:38:21.207881;SEL932875779623;1.0;;ABR975040465556;Deutschland;Berlin;Berlin;Berlin;11000000.0;10589;;;Am Spreebord;0.0;9.0;0.0;;Berlin;13.307935;52.521692;;;;;;;;2010-12-28;;;;;Aktiviert;In Betrieb;;0;;;;Photovoltaik Bildgiesserei Noack;;;;Solare Strahlungsenergie;52.17;52.17;;;;;1.0;;;Volleinspeisung;;;;;;0.0;0;0;bulk;2024-09-16;
25.0;;88.0;Bauliche Anlagen (Hausdach, Gebäude und Fassade);Nein;0.0;Ost-West;20 - 40 Grad;Nord;20 - 40 Grad;;;;Öffentliches Gebäude;;EEG963416159833;;;;2021-01-07;SEE980425699402;2021-05-06 08:44:43.132207;SEL933802299665;1.0;;ABR990883789201;Deutschland;Berlin;Berlin;Berlin;11000000.0;10589;;;;;;;;Berlin;;;;;;;;;;2017-10-17;;;;;Aktiviert;In Betrieb;;0;;;;Mierendorffstraße 28;;;;Solare Strahlungsenergie;25.96;25.0;;;;;0.0;;;Teileinspeisung (einschließlich Eigenverbrauch);;;;;;;0;0;bulk;2024-09-16;
4.6;;20.0;Bauliche Anlagen (Hausdach, Gebäude und Fassade);Ja, auf 70%;1.0;Süd;< 20 Grad;;;;;;Gewerbe, Handel und Dienstleistungen;;EEG984935422475;;;;2021-01-19;SEE910120341948;2021-01-19 11:59:58.424434;SEL982488588198;1.0;;ABR913836133135;Deutschland;Berlin;Berlin;Berlin;11000000.0;10589;;;;;;;;Berlin;;;;;;;;;;2014-09-24;;;;;Aktiviert;In Betrieb;;0;;;;Hausdach;;;;Solare Strahlungsenergie;5.1;4.6;;;;;0.0;;;Teileinspeisung (einschließlich Eigenverbrauch);;;;;;;0;0;bulk;2024-09-16;
6.0;;27.0;Bauliche Anlagen (Hausdach, Gebäude und Fassade);Ja, auf 70%;1.0;Süd-West;20 - 40 Grad;;;;;;Haushalt;;EEG943832516113;;;;2022-07-22;SEE955732392360;2024-03-28 08:31:52.570946;SEL952279075305;1.0;;ABR954835647582;Deutschland;Berlin;Berlin;Berlin;11000000.0;10589;;;;;;;;Berlin;;;;;;;;;;2012-03-28;;;;;Aktiviert;In Betrieb;;0;;2013-01-01;2024-03-28;WEG Sömmeringstr. 10, 10589 Berlin;;;;Solare Strahlungsenergie;6.48;6.0;;;;;0.0;;;Volleinspeisung;;;;;;;0;0;bulk;2024-09-16;
4.6;;23.0;Bauliche Anlagen (Hausdach, Gebäude und Fassade);Nein;1.0;Süd-West;20 - 40 Grad;;;;;;Haushalt;;EEG930622781325;;;;2022-07-22;SEE927094900200;2022-07-22 12:51:23.809634;SEL920757871480;1.0;;ABR910987338648;Deutschland;Berlin;Berlin;Berlin;11000000.0;10589;;;;;;;;Berlin;;;;;;;;;;2012-03-28;;;;;Aktiviert;In Betrieb;;0;;;;WEG Sömmeringstr. 14, 10589 Berlin;;;;Solare Strahlungsenergie;5.52;4.6;;;;;0.0;;;Volleinspeisung;;;;;;;0;0;bulk;2024-09-16;
4.6;;23.0;Bauliche Anlagen (Hausdach, Gebäude und Fassade);Nein;1.0;Süd-West;20 - 40 Grad;;;;;;Haushalt;;EEG931517181527;;;;2022-07-22;SEE994456544990;2022-07-22 12:56:48.603928;SEL963154742984;1.0;;ABR926354304888;Deutschland;Berlin;Berlin;Berlin;11000000.0;10589;;;;;;;;Berlin;;;;;;;;;;2012-06-29;;;;;Aktiviert;In Betrieb;;0;;;;WEG Sömmeringstr. 18, 10589 Berlin;;;;Solare Strahlungsenergie;5.52;4.6;;;;;0.0;;;Volleinspeisung;;;;;;;0;0;bulk;2024-09-16;
15.0;;65.0;Bauliche Anlagen (Hausdach, Gebäude und Fassade);Nein;1.0;Süd-West;20 - 40 Grad;;;;;;Haushalt;;EEG927597454132;;;;2022-07-22;SEE915129386914;2024-02-27 11:33:46.441042;SEL908406743852;1.0;;ABR969183796950;Deutschland;Berlin;Berlin;Berlin;11000000.0;10589;;;;;;;;Berlin;;;;;;;;;;2013-08-30;;;;;Aktiviert;In Betrieb;;0;;2013-10-01;2024-02-27;WEG Sömmeringstr. 22/Quedlinburger Str. 47;;;;Solare Strahlungsenergie;15.6;15.0;;;;;0.0;;;Volleinspeisung;;;;;;;0;0;bulk;2024-09-16;
