MastrNummer;Personenart;Marktfunktion;RegistergerichtAusland;Registernummer;DatumLetzeAktualisierung;Firmenname;Rechtsform;Land;Strasse;Hausnummer;Hausnummer_nv;Postleitzahl;Ort;Bundesland;Nuts2;Email;Telefon;Fax_nv;Webseite_nv;Taetigkeitsbeginn;AcerCode_nv;Umsatzsteueridentifikationsnummer_nv;BundesnetzagenturBetriebsnummer;BundesnetzagenturBetriebsnummer_nv;HausnummerAnZustelladresse_nv;Kmu;RegistrierungsdatumMarktakteur;Fax;HauptwirtdschaftszweigAbteilung;HauptwirtdschaftszweigGruppe;HauptwirtdschaftszweigAbschnitt;Webseite;Umsatzsteueridentifikationsnummer;Registergericht;Adresszusatz;LandAnZustelladresse;PostleitzahlAnZustelladresse;OrtAnZustelladresse;StrasseAnZustelladresse;HausnummerAnZustelladresse;RegisternummerAusland;SonstigeRechtsform;AcerCode;AdresszusatzAnZustelladresse;Taetigkeitsende;Region;Taetigkeitsende_nv;Marktrollen;Gasgrosshaendler;BelieferungVonLetztverbrauchernGas;BelieferungHaushaltskundenGas;Netz;Direktvermarktungsunternehmen;BelieferungVonLetztverbrauchernStrom;BelieferungHaushaltskundenStrom;Stromgrosshaendler;MarktakteurVorname;MarktakteurNachname;WebportalDesNetzbetreibers;RegisternummerPraefix;DatenQuelle;DatumDownload
SNB917314328846;Organisation (Unternehmen, Personengesellschaft, juristische Person, Behörde, Verband);Stromnetzbetreiber;;111648B;2021-10-21 05:48:47.170424;Energienetze Berlin GmbH;GmbH;Deutschland;Gaußstraße;11;0;10589;Berlin;Berlin;;kontakt@energienetze-berlin.de;+49 (030) 34990763;0.0;0.0;2007-12-10;1.0;0.0;10003218.0;0;0;;;+49 (030) 34990764;;;;www.energienetze-berlin.de;DE258122442;Amtsgericht Berlin (Charlottenburg);;;;;;;;;;;;;;SNB917314328846AN;;;;SNE945819393359;;;;;;;;1004.0;bulk;2024-09-16
ABR906732650110;Organisation (Unternehmen, Personengesellschaft, juristische Person, Behörde, Verband);Anlagenbetreiber;;33691;2024-05-23 11:24:31.749008;BTB Blockheizkraftwerks-, Träger- und Betreibergesellschaft;GmbH;Deutschland;Gaußstraße;11;0;10589;Berlin;Berlin;Berlin;info@btb-berlin.de;+49 30 34 99 07 0;;;1990-11-12;;;;0;0;0.0;;+49 30 34 99 07 88;Energieversorgung;Wärme- und Kälteversorgung;Abschnitt D - Energieversorgung;www.btb-berlin.de;DE136561825;Amtsgericht Berlin (Charlottenburg);;Deutschland;10589.0;Berlin;Gaußstraße;11;;;A0009015D.DE;;;;;;;;;;;;;;;;;1004.0;bulk;2024-09-16
SEM923793206131;Organisation (Unternehmen, Personengesellschaft, juristische Person, Behörde, Verband);Akteur im Strommarkt;;33691;2019-02-15 10:05:35.187027;BTB Blockheizkraftwerks-, Träger- und Betreibergesellschaft;GmbH;Deutschland;Gaußstraße;11;0;10589;Berlin;Berlin;;info@btb-berlin.de;+49 30 34 99 07 0;0.0;0.0;1990-11-12;0.0;0.0;;0;0;;;+49 30 34 99 07 88;;;;www.btb-berlin.de;DE136561825;Amtsgericht Berlin (Charlottenburg);;Deutschland;10589.0;Berlin;Gaußstraße;11;;;A0009015D.DE;;;;;SEM923793206131BV, SEM923793206131LT;;;;;1.0;1.0;1.0;0.0;;;;1004.0;bulk;2024-09-16
ABR932074126327;Organisation (Unternehmen, Personengesellschaft, juristische Person, Behörde, Verband);Anlagenbetreiber;;;2022-01-06 15:06:32.777962;Solarpark Felgentreu/Zinnaer Str. GmbH;GmbH;Deutschland;Max-Dohrn-Straße;3;0;10589;Berlin;Berlin;Berlin;ilker.senkaya@gmail.com;01752691980;0.0;0.0;2014-09-26;0.0;0.0;;0;0;;2020-08-02 21:54:00.048415;;Energieversorgung;Elektrizitätsversorgung;Abschnitt D - Energieversorgung;;DE296219076;;;;;;;;;;;;;;;;;;;;;;;;;;;;bulk;2024-09-16
ABR988591908625;Organisation (Unternehmen, Personengesellschaft, juristische Person, Behörde, Verband);Anlagenbetreiber;;;2024-09-05 07:16:43.478053;PV-Anlage;Einzelunternehmen;Deutschland;Mindener Straße;20;0;10589;Berlin;Berlin;Berlin;;;0.0;0.0;2011-06-22;1.0;0.0;;0;0;1.0;2020-08-29 08:22:16.582785;;Energieversorgung;Elektrizitätsversorgung;Abschnitt D - Energieversorgung;;DE279070900;;;Deutschland;10589.0;Berlin;Mindener Straße;20;;;;;;;;;;;;;;;;;;;;;bulk;2024-09-16
ABR975040465556;Organisation (Unternehmen, Personengesellschaft, juristische Person, Behörde, Verband);Anlagenbetreiber;;7189;2020-12-31 13:11:38.986114;Bildgiesserei Hermann Noack GmbH & Co. KG;GmbH & Co. KG;Deutschland;Am Spreebord;9;0;10589;Berlin;Berlin;Berlin;office@noack-bronze.com;030 34357166;0.0;0.0;2010-06-09;1.0;0.0;;0;0;1.0;2020-12-31 13:11:38.814230;030 3435 71689;Herstellung von Metallerzeugnissen;Herstellung von sonstigen Metallwaren;Abschnitt C - Verarbeitendes Gewerbe;www.noack-bronze.com;DE232330995;Amtsgericht Berlin (Charlottenburg);;;;;;;;;;;;;;;;;;;;;;;;;;1003.0;bulk;2024-09-16
ABR913836133135;Organisation (Unternehmen, Personengesellschaft, juristische Person, Behörde, Verband);Anlagenbetreiber;;67933;2021-01-19 11:20:24.790621;Bandit Helmets;GmbH;Deutschland;Darwinstraße;2;0;10589;Berlin;Berlin;Berlin;;;1.0;1.0;2014-09-24;1.0;0.0;;0;0;1.0;2021-01-19 11:20:24.743743;;;;;;DE812504481;Amtsgericht Berlin (Charlottenburg);;;;;;;;;;;;;;;;;;;;;;;;;;1004.0;bulk;2024-09-16
ABR938501613385;Organisation (Unternehmen, Personengesellschaft, juristische Person, Behörde, Verband);Anlagenbetreiber;;;2021-10-15 11:19:46.817237;Planungs- und Baugemeinschaft Feurigstr. 21 GbR  c/o Bürgerstadt Aktiengesellschaft   Axel Rauenbusc;GbR;Deutschland;Quedlinburger Straße;11;0;10589;Berlin;Berlin;Berlin;rauenbusch@buergerstadt.de;030 28 88 32-21;;;2020-11-25;;;;0;0;1.0;2021-03-03 08:28:11.926183;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;bulk;2024-09-16
SEM927187042985;Organisation (Unternehmen, Personengesellschaft, juristische Person, Behörde, Verband);Akteur im Strommarkt;;111648B;2022-03-31 11:44:35.689361;Energienetze Berlin GmbH;GmbH;Deutschland;Gaußstraße;11;0;10589;Berlin;Berlin;;christian.guenther@energienetze-berlin.de;+493034990753;1.0;0.0;1998-10-01;1.0;0.0;;0;0;;2022-03-31 11:44:35.689361;;;;;www.energienetze-berlin.de;DE258122442;Amtsgericht Berlin (Charlottenburg);;;;;;;;;;;;;;SEM927187042985BV, SEM927187042985MB;;;;;;;;;;;;1004.0;bulk;2024-09-16
ABR955728716477;Organisation (Unternehmen, Personengesellschaft, juristische Person, Behörde, Verband);Anlagenbetreiber;;122834;2022-11-22 09:07:53.783887;Balic GmbH;GmbH;Deutschland;Goslarer Platz;2;0;10589;Berlin;Berlin;Berlin;h.schlegel@balic-group.com;;0.0;0.0;2022-09-30;1.0;1.0;;0;0;1.0;2022-11-22 09:07:53.752643;;Hochbau;Bau von Gebäuden;Abschnitt F - Baugewerbe;;;Amtsgericht Berlin (Charlottenburg);;;;;;;;;;;;;;;;;;;;;;;;;;1004.0;bulk;2024-09-16
